,Bird Class,Image Path,Image Size
0,Bulbul,Data/Bulbul/Red-vented Bulbul(157).jpeg,"(600, 449, 3)"
1,Bulbul,Data/Bulbul/Red-vented Bulbul(112).jpeg,"(474, 660, 3)"
2,Bulbul,Data/Bulbul/Red-vented Bulbul(256).jpeg,"(458, 640, 3)"
3,Bulbul,Data/Bulbul/Red-vented Bulbul(213).jpeg,"(453, 640, 3)"
4,Bulbul,Data/Bulbul/suban_Red_whiskered_bulbul8.jpg,"(480, 640, 3)"
5,Bulbul,Data/Bulbul/Red-whiskered Bulbul(117).jpeg,"(516, 640, 3)"
6,Bulbul,Data/Bulbul/Red-whiskered Bulbul(152).jpeg,"(642, 562, 3)"
7,Bulbul,Data/Bulbul/Red-vented Bulbul(333).jpeg,"(479, 650, 3)"
8,Bulbul,Data/Bulbul/Red-whiskered Bulbul(192).jpeg,"(405, 620, 3)"
9,Bulbul,Data/Bulbul/Red-vented Bulbul(197).jpeg,"(526, 660, 3)"
10,Bulbul,Data/Bulbul/Red-vented Bulbul(67).jpeg,"(610, 411, 3)"
11,Bulbul,Data/Bulbul/Red-vented Bulbul(22).jpeg,"(456, 660, 3)"
12,Bulbul,Data/Bulbul/Red-whiskered Bulbul(22).jpeg,"(471, 660, 3)"
13,Bulbul,Data/Bulbul/Red-whiskered Bulbul(67).jpeg,"(516, 660, 3)"
14,Bulbul,Data/Bulbul/Red-vented Bulbul(296).jpeg,"(481, 649, 3)"
15,Bulbul,Data/Bulbul/Red-vented Bulbul(317).jpeg,"(544, 650, 3)"
16,Bulbul,Data/Bulbul/Red-vented Bulbul(352).jpeg,"(500, 431, 3)"
17,Bulbul,Data/Bulbul/Red-vented Bulbul(3).jpeg,"(443, 660, 3)"
18,Bulbul,Data/Bulbul/Red-vented Bulbul(43).jpeg,"(458, 660, 3)"
19,Bulbul,Data/Bulbul/Red-whiskered Bulbul(43).jpeg,"(545, 650, 3)"
20,Bulbul,Data/Bulbul/Red-whiskered Bulbul(83).jpeg,"(480, 640, 3)"
21,Bulbul,Data/Bulbul/suban_Red_vented_bulbul12.jpg,"(640, 444, 3)"
22,Bulbul,Data/Bulbul/Red-vented Bulbul(83).jpeg,"(600, 460, 3)"
23,Bulbul,Data/Bulbul/Red-vented Bulbul(272).jpeg,"(485, 650, 3)"
24,Bulbul,Data/Bulbul/Red-vented Bulbul(237).jpeg,"(434, 650, 3)"
25,Bulbul,Data/Bulbul/Red-vented Bulbul(173).jpeg,"(528, 660, 3)"
26,Bulbul,Data/Bulbul/Red-vented Bulbul(136).jpeg,"(600, 430, 3)"
27,Bulbul,Data/Bulbul/Red-whiskered Bulbul(133).jpeg,"(520, 650, 3)"
28,Bulbul,Data/Bulbul/Red-whiskered Bulbul(176).jpeg,"(488, 657, 3)"
29,Bulbul,Data/Bulbul/Red-vented Bulbul(39).jpeg,"(440, 660, 3)"
30,Bulbul,Data/Bulbul/Red-vented Bulbul(171).jpeg,"(534, 660, 3)"
31,Bulbul,Data/Bulbul/Red-vented Bulbul(134).jpeg,"(433, 650, 3)"
32,Bulbul,Data/Bulbul/Red-whiskered Bulbul(39).jpeg,"(495, 660, 3)"
33,Bulbul,Data/Bulbul/Red-vented Bulbul(270).jpeg,"(455, 650, 3)"
34,Bulbul,Data/Bulbul/Red-vented Bulbul(235).jpeg,"(520, 650, 3)"
35,Bulbul,Data/Bulbul/Red-whiskered Bulbul(81).jpeg,"(505, 630, 3)"
36,Bulbul,Data/Bulbul/Red-vented Bulbul(81).jpeg,"(600, 450, 3)"
37,Bulbul,Data/Bulbul/Red-vented Bulbul(328).jpeg,"(424, 599, 3)"
38,Bulbul,Data/Bulbul/Red-whiskered Bulbul(189).jpeg,"(550, 386, 3)"
39,Bulbul,Data/Bulbul/Red-whiskered Bulbul(131).jpeg,"(600, 622, 3)"
40,Bulbul,Data/Bulbul/Red-whiskered Bulbul(174).jpeg,"(480, 640, 3)"
41,Bulbul,Data/Bulbul/suban_Red_vented_bulbul10.jpg,"(640, 317, 3)"
42,Bulbul,Data/Bulbul/Red-whiskered Bulbul(149).jpeg,"(376, 640, 3)"
43,Bulbul,Data/Bulbul/Red-vented Bulbul(315).jpeg,"(439, 650, 3)"
44,Bulbul,Data/Bulbul/Red-vented Bulbul(350).jpeg,"(648, 468, 3)"
45,Bulbul,Data/Bulbul/Red-vented Bulbul(208).jpeg,"(480, 650, 3)"
46,Bulbul,Data/Bulbul/Red-vented Bulbul(109).jpeg,"(356, 660, 3)"
47,Bulbul,Data/Bulbul/Red-vented Bulbul(41).jpeg,"(426, 660, 3)"
48,Bulbul,Data/Bulbul/Red-whiskered Bulbul(41).jpeg,"(454, 660, 3)"
49,Bulbul,Data/Bulbul/Red-vented Bulbul(1).jpeg,"(466, 660, 3)"
50,Bulbul,Data/Bulbul/Red-whiskered Bulbul(190).jpeg,"(600, 523, 3)"
51,Bulbul,Data/Bulbul/Red-whiskered Bulbul(8).jpeg,"(548, 660, 3)"
52,Bulbul,Data/Bulbul/Red-vented Bulbul(331).jpeg,"(580, 471, 3)"
53,Bulbul,Data/Bulbul/Red-whiskered Bulbul(128).jpeg,"(600, 484, 3)"
54,Bulbul,Data/Bulbul/Red-vented Bulbul(294).jpeg,"(600, 600, 3)"
55,Bulbul,Data/Bulbul/Red-vented Bulbul(65).jpeg,"(495, 660, 3)"
56,Bulbul,Data/Bulbul/Red-vented Bulbul(168).jpeg,"(593, 650, 3)"
57,Bulbul,Data/Bulbul/Red-vented Bulbul(20).jpeg,"(600, 618, 3)"
58,Bulbul,Data/Bulbul/Red-whiskered Bulbul(20).jpeg,"(600, 487, 3)"
59,Bulbul,Data/Bulbul/Red-whiskered Bulbul(65).jpeg,"(490, 660, 3)"
60,Bulbul,Data/Bulbul/Red-whiskered Bulbul(98).jpeg,"(480, 640, 3)"
61,Bulbul,Data/Bulbul/Red-vented Bulbul(195).jpeg,"(487, 660, 3)"
62,Bulbul,Data/Bulbul/Red-vented Bulbul(98).jpeg,"(513, 660, 3)"
63,Bulbul,Data/Bulbul/Red-vented Bulbul(269).jpeg,"(445, 640, 3)"
64,Bulbul,Data/Bulbul/Red-vented Bulbul(254).jpeg,"(432, 650, 3)"
65,Bulbul,Data/Bulbul/Red-vented Bulbul(211).jpeg,"(513, 650, 3)"
66,Bulbul,Data/Bulbul/Red-vented Bulbul(155).jpeg,"(468, 660, 3)"
67,Bulbul,Data/Bulbul/Red-vented Bulbul(58).jpeg,"(427, 660, 3)"
68,Bulbul,Data/Bulbul/Red-vented Bulbul(110).jpeg,"(495, 660, 3)"
69,Bulbul,Data/Bulbul/Red-whiskered Bulbul(58).jpeg,"(600, 609, 3)"
70,Bulbul,Data/Bulbul/Red-whiskered Bulbul(115).jpeg,"(466, 660, 3)"
71,Bulbul,Data/Bulbul/Red-whiskered Bulbul(150).jpeg,"(513, 650, 3)"
72,Bulbul,Data/Bulbul/Red-vented Bulbul(349).jpeg,"(419, 640, 3)"
73,Bulbul,Data/Bulbul/ Red-vented Bulbul (267).jpeg,"(496, 650, 3)"
74,Bulbul,Data/Bulbul/Red-vented Bulbul(191).jpeg,"(602, 470, 3)"
75,Bulbul,Data/Bulbul/Red-vented Bulbul(228).jpeg,"(600, 565, 3)"
