,Bird Class,Image Path,Image Size
0,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(205).jpeg,"(600, 522, 3)"
1,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(104).jpeg,"(478, 610, 3)"
2,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(42).jpeg,"(464, 660, 3)"
3,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(141).jpeg,"(428, 650, 3)"
4,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(139).jpeg,"(455, 660, 3)"
5,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(82).jpeg,"(441, 660, 3)"
6,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(181).jpeg,"(600, 443, 3)"
7,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(158).jpeg,"(433, 650, 3)"
8,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(23).jpeg,"(440, 660, 3)"
9,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(120).jpeg,"(508, 660, 3)"
10,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(66).jpeg,"(480, 640, 3)"
11,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(165).jpeg,"(600, 494, 3)"
12,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(198).jpeg,"(483, 650, 3)"
13,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(221).jpeg,"(512, 640, 3)"
14,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(9).jpeg,"(554, 660, 3)"
15,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(223).jpeg,"(600, 509, 3)"
16,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(99).jpeg,"(466, 650, 3)"
17,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(21).jpeg,"(425, 660, 3)"
18,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(122).jpeg,"(600, 450, 3)"
19,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(64).jpeg,"(488, 650, 3)"
20,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(167).jpeg,"(440, 650, 3)"
21,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(59).jpeg,"(463, 636, 3)"
22,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(80).jpeg,"(600, 563, 3)"
23,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(183).jpeg,"(416, 651, 3)"
24,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(38).jpeg,"(454, 660, 3)"
25,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(106).jpeg,"(443, 650, 3)"
26,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(40).jpeg,"(491, 660, 3)"
27,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(143).jpeg,"(488, 650, 3)"
28,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(207).jpeg,"(600, 481, 3)"
29,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(79).jpeg,"(524, 660, 3)"
30,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(84).jpeg,"(514, 660, 3)"
31,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(187).jpeg,"(510, 640, 3)"
32,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(203).jpeg,"(600, 627, 3)"
33,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(102).jpeg,"(472, 660, 3)"
34,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(44).jpeg,"(485, 660, 3)"
35,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(147).jpeg,"(466, 650, 3)"
36,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(25).jpeg,"(470, 660, 3)"
37,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(126).jpeg,"(600, 492, 3)"
38,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(60).jpeg,"(513, 660, 3)"
39,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(163).jpeg,"(443, 650, 3)"
40,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(227).jpeg,"(442, 594, 3)"
41,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(18).jpeg,"(500, 660, 3)"
42,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(119).jpeg,"(600, 586, 3)"
43,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(218).jpeg,"(418, 640, 3)"
44,Brahminy_maina,Data2/Brahminy_maina/suban_Brahminy_maina8.jpg,"(480, 640, 3)"
45,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(225).jpeg,"(477, 640, 3)"
46,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(27).jpeg,"(473, 660, 3)"
47,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(124).jpeg,"(495, 660, 3)"
48,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(62).jpeg,"(525, 660, 3)"
49,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(161).jpeg,"(600, 466, 3)"
50,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(100).jpeg,"(479, 650, 3)"
51,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(46).jpeg,"(503, 660, 3)"
52,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(145).jpeg,"(495, 660, 3)"
53,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(201).jpeg,"(477, 650, 3)"
54,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(86).jpeg,"(478, 660, 3)"
55,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(185).jpeg,"(600, 611, 3)"
56,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(178).jpeg,"(452, 640, 3)"
57,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(58).jpeg,"(469, 650, 3)"
58,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(222).jpeg,"(512, 640, 3)"
59,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(98).jpeg,"(480, 640, 3)"
60,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(65).jpeg,"(567, 660, 3)"
61,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(166).jpeg,"(600, 500, 3)"
62,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(20).jpeg,"(495, 660, 3)"
63,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(123).jpeg,"(538, 660, 3)"
64,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(41).jpeg,"(487, 660, 3)"
65,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(142).jpeg,"(440, 660, 3)"
66,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(107).jpeg,"(600, 560, 3)"
67,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(206).jpeg,"(600, 501, 3)"
68,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(81).jpeg,"(361, 650, 3)"
69,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(182).jpeg,"(559, 647, 3)"
70,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(39).jpeg,"(610, 660, 3)"
71,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(138).jpeg,"(433, 650, 3)"
72,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(83).jpeg,"(498, 660, 3)"
73,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(180).jpeg,"(600, 431, 3)"
74,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(204).jpeg,"(521, 650, 3)"
75,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(43).jpeg,"(433, 660, 3)"
76,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(140).jpeg,"(495, 660, 3)"
77,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(105).jpeg,"(549, 660, 3)"
78,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(8).jpeg,"(495, 660, 3)"
79,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(67).jpeg,"(483, 660, 3)"
80,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(164).jpeg,"(488, 650, 3)"
81,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(22).jpeg,"(495, 660, 3)"
82,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(121).jpeg,"(600, 556, 3)"
83,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(199).jpeg,"(453, 640, 3)"
84,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(220).jpeg,"(600, 572, 3)"
85,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(159).jpeg,"(480, 640, 3)"
86,Brahminy_maina,Data2/Brahminy_maina/suban_Brahminy_maina10.jpg,"(480, 640, 3)"
87,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(224).jpeg,"(504, 600, 3)"
88,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(63).jpeg,"(475, 660, 3)"
89,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(160).jpeg,"(480, 640, 3)"
90,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(26).jpeg,"(442, 660, 3)"
91,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(125).jpeg,"(495, 660, 3)"
92,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(118).jpeg,"(498, 660, 3)"
93,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(219).jpeg,"(590, 526, 3)"
94,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(87).jpeg,"(600, 551, 3)"
95,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(184).jpeg,"(526, 640, 3)"
96,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(179).jpeg,"(563, 750, 3)"
97,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(47).jpeg,"(463, 660, 3)"
98,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(144).jpeg,"(473, 660, 3)"
99,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(101).jpeg,"(461, 660, 3)"
100,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(200).jpeg,"(468, 640, 3)"
101,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(202).jpeg,"(510, 650, 3)"
102,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(45).jpeg,"(409, 650, 3)"
103,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(146).jpeg,"(600, 575, 3)"
104,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(103).jpeg,"(424, 660, 3)"
105,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(78).jpeg,"(429, 650, 3)"
106,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(85).jpeg,"(600, 490, 3)"
107,Brahminy_maina,Data2/Brahminy_maina/Brahminy Starling(186).jpeg,"(466, 640, 3)"
