Bird Class,Counts
Bulbul,593
Collared_dove,439
Common_sparrow,442
Coppersmith,729
Crow,535
Crow_pheasant,310
Drongo,372
Golden_backed_woodpecker,512
Green Barbet,314
Hoopoe,315
Indian_hornbill,392
Indian_robin,300
Jungle_babbler,553
Koel,595
Little_green_beeeater,378
Magpie_robin,342
Myna,668
Owlet,333
Parakeet,563
Pariah_kite,342
Partridge,413
Peacock,639
Pied_wagtail,580
Pigeon,505
Pond_heron,311
Red_wattled_lapwing,421
Rufous_backed_shrike,541
Shikra,573
Sunbird,517
Tailor_bird,430
Tree_pie,361
White_breasted_kingfisher,358
White_breasted_water_hen,488
