,path to original,path to crop,startX,startY,endX,endY,confidence,width,height,class
1,Data/Bulbul/Red-vented Bulbul(157).jpeg,Cropped/Bird0_1.jpg,147.0,49.0,393.0,507.0,0.9967260360717773,449.0,600.0,Bulbul
2,Data/Bulbul/Red-vented Bulbul(112).jpeg,Cropped/Bird1_2.jpg,43.0,89.0,474.0,364.0,0.9999722242355347,660.0,474.0,Bulbul
3,Data/Bulbul/Red-vented Bulbul(256).jpeg,Cropped/Bird2_3.jpg,93.0,112.0,581.0,441.0,0.9998617172241211,640.0,458.0,Bulbul
4,Data/Bulbul/Red-vented Bulbul(213).jpeg,Cropped/Bird3_4.jpg,189.0,148.0,609.0,336.0,0.9767375588417053,640.0,453.0,Bulbul
5,Data/Bulbul/Red-whiskered Bulbul(117).jpeg,Cropped/Bird5_5.jpg,70.0,84.0,282.0,411.0,0.9937614798545837,640.0,516.0,Bulbul
6,Data/Bulbul/Red-whiskered Bulbul(152).jpeg,Cropped/Bird6_6.jpg,152.0,293.0,397.0,621.0,0.9980911612510681,562.0,642.0,Bulbul
7,Data/Bulbul/Red-whiskered Bulbul(152).jpeg,Cropped/Bird6_7.jpg,211.0,19.0,376.0,257.0,0.9980881810188293,562.0,642.0,Bulbul
8,Data/Bulbul/Red-vented Bulbul(333).jpeg,Cropped/Bird7_8.jpg,35.0,64.0,504.0,432.0,0.9998419284820557,650.0,479.0,Bulbul
9,Data/Bulbul/Red-whiskered Bulbul(192).jpeg,Cropped/Bird8_9.jpg,28.0,104.0,453.0,359.0,0.9994109869003296,620.0,405.0,Bulbul
10,Data/Bulbul/Red-vented Bulbul(67).jpeg,Cropped/Bird10_10.jpg,127.0,38.0,331.0,435.0,0.9961677193641663,411.0,610.0,Bulbul
11,Data/Bulbul/Red-vented Bulbul(22).jpeg,Cropped/Bird11_11.jpg,173.0,61.0,555.0,397.0,0.9996519088745117,660.0,456.0,Bulbul
12,Data/Bulbul/Red-whiskered Bulbul(22).jpeg,Cropped/Bird12_12.jpg,179.0,57.0,583.0,405.0,0.9997488856315613,660.0,471.0,Bulbul
13,Data/Bulbul/Red-whiskered Bulbul(67).jpeg,Cropped/Bird13_13.jpg,30.0,83.0,470.0,473.0,0.9998821020126343,660.0,516.0,Bulbul
14,Data/Bulbul/Red-vented Bulbul(296).jpeg,Cropped/Bird14_14.jpg,150.0,46.0,490.0,402.0,0.9955244064331055,649.0,481.0,Bulbul
15,Data/Bulbul/Red-vented Bulbul(317).jpeg,Cropped/Bird15_15.jpg,42.0,115.0,609.0,543.0,0.9974817633628845,650.0,544.0,Bulbul
16,Data/Bulbul/Red-vented Bulbul(352).jpeg,Cropped/Bird16_16.jpg,138.0,89.0,276.0,411.0,0.999944806098938,431.0,500.0,Bulbul
17,Data/Bulbul/Red-vented Bulbul(3).jpeg,Cropped/Bird17_17.jpg,147.0,60.0,613.0,392.0,0.9997435212135315,660.0,443.0,Bulbul
18,Data/Bulbul/Red-vented Bulbul(43).jpeg,Cropped/Bird18_18.jpg,10.0,54.0,464.0,448.0,0.9981164932250977,660.0,458.0,Bulbul
19,Data/Bulbul/Red-whiskered Bulbul(43).jpeg,Cropped/Bird19_19.jpg,286.0,128.0,531.0,451.0,0.9996225833892822,650.0,545.0,Bulbul
20,Data/Bulbul/Red-whiskered Bulbul(83).jpeg,Cropped/Bird20_20.jpg,145.0,46.0,452.0,381.0,0.9992642998695374,640.0,480.0,Bulbul
21,Data/Bulbul/suban_Red_vented_bulbul12.jpg,Cropped/Bird21_21.jpg,79.0,77.0,373.0,581.0,0.9994693398475647,444.0,640.0,Bulbul
22,Data/Bulbul/Red-vented Bulbul(83).jpeg,Cropped/Bird22_22.jpg,189.0,184.0,354.0,479.0,0.8486266136169434,460.0,600.0,Bulbul
23,Data/Bulbul/Red-vented Bulbul(272).jpeg,Cropped/Bird23_23.jpg,56.0,79.0,518.0,433.0,0.9999890327453613,650.0,485.0,Bulbul
24,Data/Bulbul/Red-vented Bulbul(237).jpeg,Cropped/Bird24_24.jpg,171.0,25.0,557.0,376.0,0.9990050196647644,650.0,434.0,Bulbul
25,Data/Bulbul/Red-vented Bulbul(237).jpeg,Cropped/Bird24_25.jpg,80.0,239.0,189.0,384.0,0.7547557353973389,650.0,434.0,Bulbul
26,Data/Bulbul/Red-vented Bulbul(173).jpeg,Cropped/Bird25_26.jpg,120.0,73.0,359.0,359.0,0.7969388961791992,660.0,528.0,Bulbul
27,Data/Bulbul/Red-vented Bulbul(136).jpeg,Cropped/Bird26_27.jpg,90.0,123.0,406.0,570.0,0.9998786449432373,430.0,600.0,Bulbul
28,Data/Bulbul/Red-whiskered Bulbul(176).jpeg,Cropped/Bird28_28.jpg,152.0,92.0,639.0,446.0,0.9999772310256958,657.0,488.0,Bulbul
29,Data/Bulbul/Red-vented Bulbul(39).jpeg,Cropped/Bird29_29.jpg,42.0,72.0,498.0,396.0,0.9999804496765137,660.0,440.0,Bulbul
30,Data/Bulbul/Red-vented Bulbul(171).jpeg,Cropped/Bird30_30.jpg,21.0,173.0,479.0,355.0,0.9988370537757874,660.0,534.0,Bulbul
31,Data/Bulbul/Red-vented Bulbul(134).jpeg,Cropped/Bird31_31.jpg,170.0,86.0,287.0,293.0,0.9695451259613037,650.0,433.0,Bulbul
32,Data/Bulbul/Red-vented Bulbul(134).jpeg,Cropped/Bird31_32.jpg,404.0,219.0,525.0,416.0,0.967293918132782,650.0,433.0,Bulbul
33,Data/Bulbul/Red-whiskered Bulbul(39).jpeg,Cropped/Bird32_33.jpg,203.0,74.0,436.0,418.0,0.9998519420623779,660.0,495.0,Bulbul
34,Data/Bulbul/Red-vented Bulbul(270).jpeg,Cropped/Bird33_34.jpg,129.0,66.0,616.0,393.0,0.9986086487770081,650.0,455.0,Bulbul
