Classes,Population,P: Condition positive,N: Condition negative,Test outcome positive,Test outcome negative,TP: True Positive,TN: True Negative,FP: False Positive,FN: False Negative,"TPR: (Sensitivity, hit rate, recall)",TNR=SPC: (Specificity),PPV: Pos Pred Value (Precision),NPV: Neg Pred Value,FPR: False-out,FDR: False Discovery Rate,FNR: Miss Rate,ACC: Accuracy,F1 score,MCC: Matthews correlation coefficient,Informedness,Markedness,Prevalence,LR+: Positive likelihood ratio,LR-: Negative likelihood ratio,DOR: Diagnostic odds ratio,FOR: False omission rate
Brahminy_maina,1564,24,1540,23,1541,21,1538,2,3,0.875,0.9987012987012988,0.9130434782608695,0.9980532121998702,0.0012987012987012987,0.08695652173913043,0.125,0.9968030690537084,0.8936170212765957,0.892203094423015,0.8737012987012989,0.9110966904607398,0.015345268542199489,673.75,0.12516254876462937,5383.000000000001,0.001946787800129786
Bulbul,1564,59,1505,55,1509,51,1501,4,8,0.864406779661017,0.9973421926910299,0.9272727272727272,0.9946984758117959,0.0026578073089701,0.07272727272727272,0.13559322033898305,0.9923273657289002,0.8947368421052632,0.8913516347638951,0.8617489723520468,0.9219712030845231,0.037723785166240406,325.2330508474576,0.1359545613658691,2392.2187499999995,0.005301524188204109
Collared_dove,1564,44,1520,42,1522,41,1519,1,3,0.9318181818181818,0.9993421052631579,0.9761904761904762,0.9980289093298291,0.0006578947368421052,0.023809523809523808,0.06818181818181818,0.9974424552429667,0.9534883720930233,0.9524465353505643,0.9311602870813398,0.9742193855203052,0.028132992327365727,1416.3636363636363,0.06822670417140463,20759.666666666668,0.0019710906701708277
Common_myna,1564,63,1501,64,1500,60,1497,4,3,0.9523809523809523,0.9973351099267155,0.9375,0.998,0.002664890073284477,0.0625,0.047619047619047616,0.9955242966751918,0.9448818897637795,0.9425812306049932,0.9497160623076679,0.9355,0.04028132992327366,357.38095238095235,0.047746286223240134,7484.999999999999,0.002
Common_sparrow,1564,44,1520,56,1508,40,1504,16,4,0.9090909090909091,0.9894736842105263,0.7142857142857143,0.9973474801061007,0.010526315789473684,0.2857142857142857,0.09090909090909091,0.9872122762148338,0.8,0.7996551706194882,0.8985645933014355,0.711633194391815,0.028132992327365727,86.36363636363636,0.0918762088974855,939.9999999999999,0.002652519893899204
Coppersmith,1564,73,1491,64,1500,62,1489,2,11,0.8493150684931506,0.9986586183769283,0.96875,0.9926666666666667,0.0013413816230717639,0.03125,0.1506849315068493,0.9916879795396419,0.9051094890510949,0.9029152980494212,0.8479736868700789,0.9614166666666666,0.046675191815856776,633.1643835616438,0.15088732899712043,4196.272727272727,0.007333333333333333
Crow_pheasant,1564,31,1533,29,1535,27,1531,2,4,0.8709677419354839,0.9986953685583823,0.9310344827586207,0.9973941368078176,0.001304631441617743,0.06896551724137931,0.12903225806451613,0.9961636828644501,0.9,0.8985655909079064,0.8696631104938661,0.9284286195664384,0.019820971867007674,667.5967741935484,0.12920081751332674,5167.125,0.0026058631921824105
Drongo,1564,37,1527,34,1530,30,1523,4,7,0.8108108108108109,0.9973804846103471,0.8823529411764706,0.9954248366013072,0.0026195153896529143,0.11764705882352941,0.1891891891891892,0.9929667519181585,0.8450704225352113,0.8422662045423214,0.8081912954211581,0.8777777777777778,0.023657289002557546,309.52702702702703,0.1896860747812816,1631.7857142857144,0.004575163398692811
Golden_backed_woodpecker,1564,52,1512,57,1507,50,1505,7,2,0.9615384615384616,0.9953703703703703,0.8771929824561403,0.9986728599867286,0.004629629629629629,0.12280701754385964,0.038461538461538464,0.9942455242966752,0.9174311926605505,0.9154909940577519,0.9569088319088319,0.8758658424428689,0.03324808184143223,207.6923076923077,0.03864042933810376,5375.0,0.0013271400132714001
Green Barbet,1564,31,1533,33,1531,28,1528,5,3,0.9032258064516129,0.9967384213959556,0.8484848484848485,0.9980404964075767,0.0032615786040443573,0.15151515151515152,0.0967741935483871,0.9948849104859335,0.875,0.8728359114802209,0.8999642278475686,0.8465253448924253,0.019820971867007674,276.9290322580645,0.0970908630298936,2852.266666666667,0.001959503592423253
